0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
2322,3840,5693,9269,10368,11425,12331,11816,12530,12106,11933,12250,11897,11610,11416,13453,12792,12313,14873,12143,10323,11736,11244,11818,14608,11023,7517,6521,6492,7056,12368,9308,6638,5750,6064,7744,8162,12059,14908,6968,10873,9601,10033,8588,16038,13321,10870,13342,12801,14337,
2539,4285,6540,8421,10078,12168,14116,12713,13162,14048,11837,12280,12833,12457,13912,10448,12037,13245,9256,6342,9779,15415,12022,12677,12639,13272,15332,12821,14677,14337,13673,13012,11730,11968,12896,12414,12074,12351,13449,14381,12062,12545,12829,12902,13485,12565,12619,11671,4564,4164,
680,1408,2089,2725,3533,4527,5362,5949,4401,4384,4419,4280,4270,4253,4267,4248,4292,4709,4959,6171,6203,9655,7948,7960,7872,7953,7713,7615,7730,7505,6783,7262,7888,7468,7505,7686,7609,8072,7700,7441,7701,8086,8991,8126,5290,4703,4754,4358,4756,4694,
843,1587,2290,3068,3863,4503,4081,4009,11316,10744,6541,6206,5744,5448,5002,4177,4688,4306,4272,12216,7028,6417,6588,5577,4680,4814,4115,4099,4406,4390,4322,4298,9699,7772,5234,5583,5099,4699,4182,4207,4300,4344,4348,4857,4297,4482,4367,4299,4169,5098,
883,1706,2400,3533,5019,4945,4627,4732,4855,5054,5116,5336,5133,4615,5012,4912,5017,6298,8773,5781,4672,4999,11608,8981,6610,5130,4286,4029,4243,4207,4206,8108,4654,4959,4810,4703,4696,4516,4775,4919,4639,4616,4348,4604,5045,5685,9200,8373,7292,4597,
841,1552,2310,3090,3662,12919,5153,3998,4257,4657,3954,4097,4043,3927,3890,3981,4019,4077,7050,12013,6920,6377,4758,4900,4756,3854,10533,6099,4560,4344,3933,3962,3980,4197,4117,4084,4432,9673,5593,4256,4113,4288,4444,5994,6763,7015,6004,4562,4089,4117,
704,1425,2062,2628,3311,4325,9128,6827,4367,4196,5007,4302,14246,13160,14781,12840,12912,13031,14287,14198,13433,13974,13701,13666,12739,11582,13650,14719,10897,13309,12952,12190,12222,11082,11623,11096,12771,12033,13839,14524,13248,12354,13307,11850,13282,13144,12995,13211,13360,13849,
3260,3737,6403,8348,8922,10168,11794,12781,12494,10960,10209,10189,10150,10505,10583,11134,10234,10229,10145,10207,10126,10273,11006,10039,10593,10195,10099,10163,11770,10112,10572,10058,10151,10072,10185,9898,10717,10763,10039,10482,10152,10198,10131,10267,11858,10196,10041,10115,10260,10363,
1885,3439,5089,6744,8604,9989,10119,10182,9978,10075,10700,10474,10168,9970,10087,10099,10173,10371,11255,9981,10117,10167,10323,9981,10745,11509,10103,10229,10062,10002,10059,10082,11879,11328,10146,10090,10045,10067,10060,10773,10034,10136,10094,10159,10226,10139,10300,10854,10139,11677,
954,4517,6700,7711,10293,12569,14323,12858,10218,12518,12213,13951,12049,12768,12862,13078,12885,14878,13499,13276,12064,14382,7896,7672,10826,8477,12653,11529,9085,9422,8956,9155,15683,10656,10009,10204,9849,9821,9713,9967,9824,9884,9884,9292,9182,13137,11371,12732,12661,14731,